art	best_group	best_inliers	best_good	second_group	second_inliers	second_good
17-Sivalas.png	Common	58	86	Rare	10	41
03-arnulf-of-esplin.png	Rare	9	45	Epic	8	23
05-Dayne.png	Common	101	125	Epic	12	45
20-uriah-the-sage.png	Legendary	192	215	Rare	10	36
06-duke-duscair-IV.png	Legendary	104	134	Rare	11	56
19-Torlov.png	Common	67	87	Uncommon	15	30
18-thalas-one-eye.png	Uncommon	73	87	Common	19	40
12-Layer-1.png	Uncommon	63	85	Common	19	43
21-xegis-branfyre.png	Epic	342	357	Rare	12	33
13-Lena.png	Epic	13	38	Rare	10	46
15-sir-asten.png	Legendary	100	112	Rare	10	36
09-helia-stormcall.png	Epic	324	338	Rare	13	35
14-reis-of-the-knife.png	Uncommon	56	67	Common	19	41
01-aelof-orstone.png	Uncommon	55	65	Common	20	53
16-sir-bertrand.png	Rare	192	238	Epic	9	35
07-elrik-the-imbuer.png	Rare	12	45	Epic	7	23
08-Esfel.png	Common	97	120	Rare	14	56
02-andin-olis.png	Uncommon	51	59	Common	17	38
11-lady-ella-of-tir.png	Rare	183	212	Epic	8	25
04-Balen-Fellwood.png	Rare	212	239	Epic	9	29
10-Jan.png	Common	113	129	Epic	10	35
