heroNameId	name	art_file	rarity	confidence	evidence
1	Dayne of Gerston	05-Dayne.png	Common	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 500/500/500 uniquely matches period calculator 2021-12-06
2	Andin Olis	02-andin-olis.png	Uncommon	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 500/500/600 uniquely matches period calculator 2021-12-06
3	Torlov Branhart	19-Torlov.png	Common	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 500/600/400 uniquely matches period calculator 2021-12-06
4	Aelof Orstone	01-aelof-orstone.png	Uncommon	HIGH_COMPLETE_SET	Only unmatched Uncommon name/slot after four unique stat joins; preserved GitBook order agrees
5	Jan Rhylen	10-Jan.png	Common	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 500/700/300 uniquely matches period calculator 2021-12-06
6	Demisov the Bold	12-Layer-1.png	Uncommon	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 500/800/300 uniquely matches period calculator 2021-12-06
7	Esfel of Lordan	08-Esfel.png	Common	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 400/300/800 uniquely matches period calculator 2021-12-06
8	Reis of the Knife	14-reis-of-the-knife.png	Uncommon	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 500/300/800 uniquely matches period calculator 2021-12-06
9	Lena	13-Lena.png	Common	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 500/400/600 uniquely matches period calculator Lena Ashwood; corrects prior swapped ID9/10
10	Sivalas Zefen	17-Sivalas.png	Common	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 600/300/600 uniquely matches period calculator; corrects prior swapped ID9/10
11	Thalas One-Eye	18-thalas-one-eye.png	Uncommon	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 700/300/600 uniquely matches period calculator 2021-12-06
12	Lady Ella of Tir	11-lady-ella-of-tir.png	Rare	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 600/400/700 uniquely matches period calculator 2021-12-06
13	Sir Bertrand	16-sir-bertrand.png	Rare	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 600/600/500 uniquely matches period calculator 2021-12-06
14	Arnulf of Esplin	03-arnulf-of-esplin.png	Rare	DIRECT_ANCHOR	Existing direct numeric anchor plus independent stat match A/D/S 600/700/400
15	Balen Fellwood	04-Balen-Fellwood.png	Rare	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 700/500/500 uniquely matches period calculator 2021-12-06
16	Helia Stormcall	09-helia-stormcall.png	Epic	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 800/400/700 uniquely matches period calculator 2021-12-06
17	Xegis Branfyre	21-xegis-branfyre.png	Epic	DIRECT_PERIOD_STAT_MATCH	On-chain A/D/S 800/500/600 uniquely matches period calculator 2021-12-06
18	Elrik the Imbuer	07-elrik-the-imbuer.png	Epic	DIRECT_ANCHOR	Existing direct numeric anchor plus independent stat match A/D/S 900/500/500
19	Uriah the Sage	20-uriah-the-sage.png	Legendary	HIGH_CLASS_ROSTER	On-chain ID19 class=4 mage; Uriah is the Legendary mage in period calculator; GitBook order agrees
20	Sir Asten	15-sir-asten.png	Legendary	HIGH_STRUCTURAL	Preserved GitBook Legendary order + unchanged 21-slot insertion model; period calculator Legendary stats contain copy error
21	Duke Duscair IV	06-duke-duscair-IV.png	Legendary	HIGH_STRUCTURAL	Preserved GitBook Legendary order + unchanged 21-slot insertion model; period calculator Legendary stats contain copy error
