rarity	art	inliers	good	median_x	median_y	projected_center_x	projected_center_y
Common	05-Dayne.png	130	149	899.2	342.0	896.3	237.1
Common	19-Torlov.png	60	80	1219.0	336.4	1228.3	237.2
Common	10-Jan.png	135	152	1569.3	299.8	1557.2	237.0
Common	08-Esfel.png	107	138	1408.4	785.8	1397.2	722.3
Common	17-Sivalas.png	76	101	1075.1	768.0	1069.9	722.1
Uncommon	02-andin-olis.png	55	58	908.5	328.4	908.3	243.5
Uncommon	01-aelof-orstone.png	60	69	1242.2	342.2	1233.5	243.4
Uncommon	12-Layer-1.png	75	105	1550.1	197.4	1549.9	220.1
Uncommon	14-reis-of-the-knife.png	72	81	1416.2	737.9	1398.8	717.3
Uncommon	18-thalas-one-eye.png	104	117	1066.6	762.1	1078.2	717.2
Rare	11-lady-ella-of-tir.png	226	246	1535.0	481.0	1532.2	472.4
Rare	16-sir-bertrand.png	243	310	700.7	492.1	712.4	462.8
Rare	04-Balen-Fellwood.png	281	314	1172.7	497.9	1125.2	472.3
Epic	09-helia-stormcall.png	368	391	790.0	476.8	777.8	473.4
Epic	21-xegis-branfyre.png	364	398	317.7	491.8	315.2	473.4
Legendary	20-uriah-the-sage.png	192	215	577.7	260.7	590.8	253.8
Legendary	15-sir-asten.png	100	112	372.0	258.6	372.2	253.7
Legendary	06-duke-duscair-IV.png	104	134	798.4	261.7	805.0	244.2
