art	best_inliers	good	frame
02-andin-olis.png	69	80	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
01-aelof-orstone.png	61	79	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
14-reis-of-the-knife.png	58	83	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
12-Layer-1.png	57	82	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
18-thalas-one-eye.png	56	85	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
10-Jan.png	27	51	research/hero-id-mapping/x-reveal/frames/frame-012.jpg
08-Esfel.png	26	44	research/hero-id-mapping/x-reveal/frames/frame-012.jpg
15-sir-asten.png	22	47	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
19-Torlov.png	21	48	research/hero-id-mapping/x-reveal/frames/frame-003.jpg
17-Sivalas.png	20	42	research/hero-id-mapping/x-reveal/frames/frame-003.jpg
06-duke-duscair-IV.png	19	43	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
13-Lena.png	19	42	research/hero-id-mapping/x-reveal/frames/frame-003.jpg
05-Dayne.png	16	39	research/hero-id-mapping/x-reveal/frames/frame-014.jpg
04-Balen-Fellwood.png	13	29	research/hero-id-mapping/x-reveal/frames/frame-006.jpg
11-lady-ella-of-tir.png	13	26	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
03-arnulf-of-esplin.png	11	27	research/hero-id-mapping/x-reveal/frames/frame-011.jpg
16-sir-bertrand.png	11	24	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
09-helia-stormcall.png	10	26	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
20-uriah-the-sage.png	8	20	research/hero-id-mapping/x-reveal/frames/frame-007.jpg
07-elrik-the-imbuer.png	7	27	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
21-xegis-branfyre.png	7	13	research/hero-id-mapping/x-reveal/frames/frame-013.jpg
